==28607== NVPROF is profiling process 28607, command: ./run 0.3 4 3
==28607== Profiling application: ./run 0.3 4 3
==28607== Profiling result:
Time(%)      Time  Calls (host)  Calls (device)       Avg       Min       Max  Name
 86.61%  459.198s             0            6024  76.228ms  7.2330us  2.10553s  FindOPT(int*, int*, int, int*, int, int, int*, int*, int*, int*, int*, int*, int*, int*, int*, int, int, int, int*, int*, int*, int, int, int, int, int, int)
 11.88%  62.9763s             0            6024  10.454ms  45.984us  197.92ms  gpu_generate2(int, int*, int, int*, int*, int*, int, int*, int*, int*, int*, int*, int, int)
  1.21%  6.41910s          1272               -  5.0465ms  4.1920us  63.321ms  [CUDA memcpy DtoH]
  0.24%  1.24761s        626604               -  1.9910us  1.4080us  54.272us  [CUDA memcpy HtoD]
  0.07%  349.77ms           502               0  696.76us  397.12us  1.1012ms  LaunchBlocks(int, int*, int*, int*, int, int, int, int*, int*, int*, int*, int*, int*, int*, int*, int*, int, int, int, int, int*, int, int, int*, int*, int*, int*, int*, int, int, int)
  0.00%  416.07us           212               -  1.9620us  1.4400us  2.3360us  [CUDA memset]

==28607== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 66.63%  500.060s      7696  64.977ms     907ns  13.1941s  cudaStreamSynchronize
 20.50%  153.822s      3604  42.681ms  3.8910us  9.84434s  cudaFree
  6.74%  50.6101s      2544  19.894ms  3.6390us  9.86106s  cudaMemcpyAsync
  2.86%  21.4753s    625332  34.342us  7.3130us  1.25152s  cudaMemcpy
  2.39%  17.9166s       502  35.690ms  11.691us  1.10901s  cudaLaunch
  0.43%  3.22802s      3816  845.92us  3.4090us  815.34ms  cudaMalloc
  0.39%  2.90421s      3832  757.88us     652ns  484.49ms  cudaStreamCreate
  0.07%  490.67ms      3832  128.05us  1.5650us  134.58ms  cudaStreamDestroy
  0.00%  7.0715ms       212  33.356us  12.001us  76.979us  cudaMemsetAsync
  0.00%  2.9366ms     15562     188ns     127ns  239.52us  cudaSetupArgument
  0.00%  1.2197ms       166  7.3470us     224ns  281.84us  cuDeviceGetAttribute
  0.00%  993.33us       212  4.6850us  1.8010us  15.164us  cudaSetDevice
  0.00%  394.95us       502     786ns     283ns  8.3500us  cudaConfigureCall
  0.00%  154.31us         2  77.154us  63.004us  91.305us  cuDeviceTotalMem
  0.00%  127.02us         2  63.511us  46.516us  80.506us  cuDeviceGetName
  0.00%  2.6130us         2  1.3060us  1.2430us  1.3700us  cuDeviceGetCount
  0.00%  1.7540us         4     438ns     399ns     457ns  cuDeviceGet
